Id,IsDeleted,MasterRecordId,AccountId,LastName,FirstName,Salutation,Name,OtherStreet,OtherCity,OtherState,OtherPostalCode,OtherCountry,OtherLatitude,OtherLongitude,OtherGeocodeAccuracy,OtherAddress,MailingStreet,MailingCity,MailingState,MailingPostalCode,MailingCountry,MailingLatitude,MailingLongitude,MailingGeocodeAccuracy,MailingAddress,Phone,Fax,MobilePhone,HomePhone,OtherPhone,AssistantPhone,ReportsToId,Email,Title,Department,AssistantName,LeadSource,Birthdate,Description,OwnerId,CreatedDate,CreatedById,LastModifiedDate,LastModifiedById,SystemModstamp,LastActivityDate,LastCURequestDate,LastCUUpdateDate,LastViewedDate,LastReferencedDate,EmailBouncedReason,EmailBouncedDate,IsEmailBounced,PhotoUrl,Jigsaw,JigsawContactId,CleanStatus,IndividualId
003BK000004PSQTYA4,,,001BK000009rsfnYAA,秋草,美津,,秋草 美津,,,,,,,,,,中央区磯辺通１丁目１－３９,神戸市,兵庫県,6510084,JP,,,,"{""city"":""神戸市"",""country"":""JP"",""geocodeAccuracy"":null,""latitude"":null,""longitude"":null,""postalCode"":""6510084"",""state"":""兵庫県"",""street"":""中央区磯辺通１丁目１－３９""}",03-1234-5057,03-5793-8302,090-1234-4865,03-5793-8302,03-5793-8301,03-5459-8301,,u013@gotoda-kenchiku.example.com,営業マネージャ,,清田　博美,DM,1966-04-08,営業部のマネージャとして部下からの信頼も厚く、この商談のキーマンではないが、影のキーマンとしてはかなりの決定力を持つ。,005BK00000205bFYAQ,2023-07-03T08:20:14.000+0000,005BK00000205bFYAQ,2023-07-03T08:20:14.000+0000,005BK00000205bFYAQ,2023-07-03T08:20:14.000+0000,,,,2023-07-03T08:20:14.000+0000,2023-07-03T08:20:14.000+0000,,,,/services/images/photo/003BK000004PSQTYA4,,,Pending,
003BK000004PSQUYA4,,,001BK000009rsfNYAQ,杉田,陽子,,杉田 陽子,,,,,,,,,,東上野５－２－２,台東区,東京都,110-8624,JP,,,,"{""city"":""台東区"",""country"":""JP"",""geocodeAccuracy"":null,""latitude"":null,""longitude"":null,""postalCode"":""110-8624"",""state"":""東京都"",""street"":""東上野５－２－２""}",03-1234-5031,03-5793-8302,090-1234-4865,03-5793-8302,03-5793-8301,03-5459-8301,,u014@higashino-sachi.example.com,購買担当,,清田　博美,社員の紹介,1965-07-08,非常に細かい部分までチェックを入れる方,005BK00000205bFYAQ,2023-07-03T08:20:14.000+0000,005BK00000205bFYAQ,2023-07-03T08:20:14.000+0000,005BK00000205bFYAQ,2023-07-03T08:20:14.000+0000,,,,2023-07-03T08:20:14.000+0000,2023-07-03T08:20:14.000+0000,,,,/services/images/photo/003BK000004PSQUYA4,,,Pending,
003BK000004PSQVYA4,,,001BK000009rsfHYAQ,細野,舞由美,,細野 舞由美,,,,,,,,,,亀沢１－４－７,墨田区,東京都,130-0014,JP,,,,"{""city"":""墨田区"",""country"":""JP"",""geocodeAccuracy"":null,""latitude"":null,""longitude"":null,""postalCode"":""130-0014"",""state"":""東京都"",""street"":""亀沢１－４－７""}",03-1234-5025,03-5793-8302,090-1234-4865,03-5793-8302,03-5793-8301,03-5459-8301,,u015@watase-pipe.example.com,営業部長,,清田　博美,口コミ,1958-03-04,最初は他社製品に非常に興味を持っていたが、現在は弊社製品を気に入っている,005BK00000205bFYAQ,2023-07-03T08:20:14.000+0000,005BK00000205bFYAQ,2023-07-03T08:20:14.000+0000,005BK00000205bFYAQ,2023-07-03T08:20:14.000+0000,,,,2023-07-03T08:20:14.000+0000,2023-07-03T08:20:14.000+0000,,,,/services/images/photo/003BK000004PSQVYA4,,,Pending,
003BK000004PSQWYA4,,,001BK000009rsecYAA,占部,秀久,,占部 秀久,,,,,,,,,,海岸２－１－２１,港区,東京都,105-0022,JP,,,,"{""city"":""港区"",""country"":""JP"",""geocodeAccuracy"":null,""latitude"":null,""longitude"":null,""postalCode"":""105-0022"",""state"":""東京都"",""street"":""海岸２－１－２１""}",03-1234-5063,03-5793-8302,090-1234-4865,03-5793-8302,03-5793-8301,03-5459-8301,,u016@yoguchi.example.com,営業部長,,清田　博美,口コミ,1958-03-04,最初は他社製品に非常に興味を持っていたが、現在は弊社製品を気に入っている,005BK00000205bFYAQ,2023-07-03T08:20:14.000+0000,005BK00000205bFYAQ,2023-07-03T08:20:14.000+0000,005BK00000205bFYAQ,2023-07-03T08:20:14.000+0000,,,,2023-07-03T08:20:14.000+0000,2023-07-03T08:20:14.000+0000,,,,/services/images/photo/003BK000004PSQWYA4,,,Pending,
003BK000004PSQXYA4,,,001BK000009rsfZYAQ,小峰,和幸,,小峰 和幸,,,,,,,,,,築地５－６－１０,中央区,東京都,104-0045,JP,,,,"{""city"":""中央区"",""country"":""JP"",""geocodeAccuracy"":null,""latitude"":null,""longitude"":null,""postalCode"":""104-0045"",""state"":""東京都"",""street"":""築地５－６－１０""}",03-1234-5043,03-5793-8302,090-1234-4865,03-5793-8302,03-5793-8301,03-5459-8301,,u017@tachihanada-shoji.example.com,営業部長,,清田　博美,口コミ,1958-03-04,最初は他社製品に非常に興味を持っていたが、現在は弊社製品を気に入っている,005BK00000205bFYAQ,2023-07-03T08:20:14.000+0000,005BK00000205bFYAQ,2023-07-03T08:20:14.000+0000,005BK00000205bFYAQ,2023-07-03T08:20:14.000+0000,,,,2023-07-03T08:20:14.000+0000,2023-07-03T08:20:14.000+0000,,,,/services/images/photo/003BK000004PSQXYA4,,,Pending,
003BK000004PSQYYA4,,,001BK000009rsfXYAQ,佐藤,かおり,,佐藤 かおり,,,,,,,,,,丸の内１－８－２,千代田区,東京都,100-0005,JP,,,,"{""city"":""千代田区"",""country"":""JP"",""geocodeAccuracy"":null,""latitude"":null,""longitude"":null,""postalCode"":""100-0005"",""state"":""東京都"",""street"":""丸の内１－８－２""}",03-1234-5041,03-5793-8302,090-1234-4865,03-5793-8302,03-5793-8301,03-5459-8301,,u018@tanimachi-sangyo.example.com,営業部長,,清田　博美,口コミ,1958-03-04,最初は他社製品に非常に興味を持っていたが、現在は弊社製品を気に入っている,005BK00000205bFYAQ,2023-07-03T08:20:14.000+0000,005BK00000205bFYAQ,2023-07-03T08:20:14.000+0000,005BK00000205bFYAQ,2023-07-03T08:20:14.000+0000,,,,2023-07-03T08:20:14.000+0000,2023-07-03T08:20:14.000+0000,,,,/services/images/photo/003BK000004PSQYYA4,,,Pending,
003BK000004PSQZYA4,,,001BK000009rsfeYAA,荒井,桂子,,荒井 桂子,,,,,,,,,,武1－5－28,鹿児島市,鹿児島県,112-8654,JP,,,,"{""city"":""鹿児島市"",""country"":""JP"",""geocodeAccuracy"":null,""latitude"":null,""longitude"":null,""postalCode"":""112-8654"",""state"":""鹿児島県"",""street"":""武1－5－28""}",03-1234-5048,03-5793-8302,090-1234-4865,03-5793-8302,03-5793-8301,03-5459-8301,,u019@maximum.example.com,営業部長,,清田　博美,口コミ,1958-03-04,最初は他社製品に非常に興味を持っていたが、現在は弊社製品を気に入っている,005BK00000205bFYAQ,2023-07-03T08:20:14.000+0000,005BK00000205bFYAQ,2023-07-03T08:20:14.000+0000,005BK00000205bFYAQ,2023-07-03T08:20:14.000+0000,,,,2023-07-03T08:20:14.000+0000,2023-07-03T08:20:14.000+0000,,,,/services/images/photo/003BK000004PSQZYA4,,,Pending,
003BK000004PSQbYAO,,,001BK000009rsfNYAQ,山口,浩昭,,山口 浩昭,,,,,,,,,,東上野５－２－２,台東区,東京都,110-8624,JP,,,,"{""city"":""台東区"",""country"":""JP"",""geocodeAccuracy"":null,""latitude"":null,""longitude"":null,""postalCode"":""110-8624"",""state"":""東京都"",""street"":""東上野５－２－２""}",03-1234-5031,03-5793-8302,090-1234-4865,03-5793-8302,03-5793-8301,03-5459-8301,,u021@higashino-sachi.example.com,技術部長,,清田　博美,セミナー,1952-03-02,大手コンピュータメーカーから転職。 経営に活用できるIT基盤づくりが主要課題。,005BK00000205bFYAQ,2023-07-03T08:20:14.000+0000,005BK00000205bFYAQ,2023-07-03T08:20:14.000+0000,005BK00000205bFYAQ,2023-07-03T08:20:14.000+0000,,,,2023-07-03T08:20:14.000+0000,2023-07-03T08:20:14.000+0000,,,,/services/images/photo/003BK000004PSQbYAO,,,Pending,
003BK000004PSQcYAO,,,001BK000009rsfNYAQ,塚本,博史,,塚本 博史,,,,,,,,,,東上野５－２－２,台東区,東京都,110-8624,JP,,,,"{""city"":""台東区"",""country"":""JP"",""geocodeAccuracy"":null,""latitude"":null,""longitude"":null,""postalCode"":""110-8624"",""state"":""東京都"",""street"":""東上野５－２－２""}",03-1234-5031,03-5793-8302,090-1234-4865,03-5793-8302,03-5793-8301,03-5459-8301,,u022@higashino-sachi.example.com,営業部長,,清田　博美,口コミ,1958-03-04,最初は他社製品に非常に興味を持っていたが、現在は弊社製品を気に入っている,005BK00000205bFYAQ,2023-07-03T08:20:14.000+0000,005BK00000205bFYAQ,2023-07-03T08:20:14.000+0000,005BK00000205bFYAQ,2023-07-03T08:20:14.000+0000,,,,2023-07-03T08:20:14.000+0000,2023-07-03T08:20:14.000+0000,,,,/services/images/photo/003BK000004PSQcYAO,,,Pending,
003BK000004PSQdYAO,,,001BK000009rseoYAA,氏家,宏文,,氏家 宏文,,,,,,,,,,板橋２－６５－８,板橋区,東京都,173-0004,JP,,,,"{""city"":""板橋区"",""country"":""JP"",""geocodeAccuracy"":null,""latitude"":null,""longitude"":null,""postalCode"":""173-0004"",""state"":""東京都"",""street"":""板橋２－６５－８""}",03-1234-5075,03-5793-8302,090-1234-4865,03-5793-8302,03-5793-8301,03-5459-8301,,u023@gekkodo.example.com,代表取締役社長,,清田　博美,展示会,1946-10-10,IBM出身で、大胆ではっきりした方。意思決定が早い。,005BK00000205bFYAQ,2023-07-03T08:20:14.000+0000,005BK00000205bFYAQ,2023-07-03T08:20:14.000+0000,005BK00000205bFYAQ,2023-07-03T08:20:14.000+0000,,,,2023-07-03T08:20:14.000+0000,2023-07-03T08:20:14.000+0000,,,,/services/images/photo/003BK000004PSQdYAO,,,Pending,
003BK000004PSQeYAO,,,001BK000009rsf6YAA,大類,伸明,,大類 伸明,,,,,,,,,,東新橋１－５－２,港区,東京都,105-7109,JP,,,,"{""city"":""港区"",""country"":""JP"",""geocodeAccuracy"":null,""latitude"":null,""longitude"":null,""postalCode"":""105-7109"",""state"":""東京都"",""street"":""東新橋１－５－２""}",03-1234-5015,03-5793-8302,090-1234-4865,03-5793-8302,03-5793-8301,03-5459-8301,,u024@ahuman-com.example.com,営業マネージャ,,清田　博美,DM,1966-04-08,営業部のマネージャとして部下からの信頼も厚く、この商談のキーマンではないが、影のキーマンとしてはかなりの決定力を持つ。,005BK00000205bFYAQ,2023-07-03T08:20:14.000+0000,005BK00000205bFYAQ,2023-07-03T08:20:14.000+0000,005BK00000205bFYAQ,2023-07-03T08:20:14.000+0000,,,,2023-07-03T08:20:14.000+0000,2023-07-03T08:20:14.000+0000,,,,/services/images/photo/003BK000004PSQeYAO,,,Pending,
003BK000004PSQfYAO,,,001BK000009rsfkYAA,鈴木,幸恵,,鈴木 幸恵,,,,,,,,,,丸の内１－２－１,千代田区,東京都,100-8050,JP,,,,"{""city"":""千代田区"",""country"":""JP"",""geocodeAccuracy"":null,""latitude"":null,""longitude"":null,""postalCode"":""100-8050"",""state"":""東京都"",""street"":""丸の内１－２－１""}",03-1234-5054,03-5793-8302,090-1234-4865,03-5793-8302,03-5793-8301,03-5459-8301,,u025@teitoku-homes.example.com,営業部長,,清田　博美,口コミ,1958-03-04,最初は他社製品に非常に興味を持っていたが、現在は弊社製品を気に入っている,005BK00000205bFYAQ,2023-07-03T08:20:14.000+0000,005BK00000205bFYAQ,2023-07-03T08:20:14.000+0000,005BK00000205bFYAQ,2023-07-03T08:20:14.000+0000,,,,2023-07-03T08:20:14.000+0000,2023-07-03T08:20:14.000+0000,,,,/services/images/photo/003BK000004PSQfYAO,,,Pending,
003BK000004PSQgYAO,,,001BK000009rsf6YAA,田保,晃,,田保 晃,,,,,,,,,,東新橋１－５－２,港区,東京都,105-7109,JP,,,,"{""city"":""港区"",""country"":""JP"",""geocodeAccuracy"":null,""latitude"":null,""longitude"":null,""postalCode"":""105-7109"",""state"":""東京都"",""street"":""東新橋１－５－２""}",03-1234-5015,03-5793-8302,090-1234-4865,03-5793-8302,03-5793-8301,03-5459-8301,,u026@ahuman-com.example.com,代表取締役社長,,清田　博美,展示会,1946-10-10,IBM出身で、大胆ではっきりした方。意思決定が早い。,005BK00000205bFYAQ,2023-07-03T08:20:14.000+0000,005BK00000205bFYAQ,2023-07-03T08:20:14.000+0000,005BK00000205bFYAQ,2023-07-03T08:20:14.000+0000,,,,2023-07-03T08:20:14.000+0000,2023-07-03T08:20:14.000+0000,,,,/services/images/photo/003BK000004PSQgYAO,,,Pending,
003BK000004PSQhYAO,,,001BK000009rsedYAA,五野上,みさ子,,五野上 みさ子,,,,,,,,,,守山区中新７-８－５０１,名古屋市,愛知県,108-8405,JP,,,,"{""city"":""名古屋市"",""country"":""JP"",""geocodeAccuracy"":null,""latitude"":null,""longitude"":null,""postalCode"":""108-8405"",""state"":""愛知県"",""street"":""守山区中新７-８－５０１""}",03-1234-5064,03-5793-8302,090-1234-4865,03-5793-8302,03-5793-8301,03-5459-8301,,u027@tanaka-drive.example.com,営業部長,,清田　博美,口コミ,1958-03-04,最初は他社製品に非常に興味を持っていたが、現在は弊社製品を気に入っている,005BK00000205bFYAQ,2023-07-03T08:20:14.000+0000,005BK00000205bFYAQ,2023-07-03T08:20:14.000+0000,005BK00000205bFYAQ,2023-07-03T08:20:14.000+0000,,,,2023-07-03T08:20:14.000+0000,2023-07-03T08:20:14.000+0000,,,,/services/images/photo/003BK000004PSQhYAO,,,Pending,
003BK000004PSQiYAO,,,001BK000009rsf7YAA,丸衛,泰子,,丸衛 泰子,,,,,,,,,,四番町４－２,千代田区,東京都,102-8362,JP,,,,"{""city"":""千代田区"",""country"":""JP"",""geocodeAccuracy"":null,""latitude"":null,""longitude"":null,""postalCode"":""102-8362"",""state"":""東京都"",""street"":""四番町４－２""}",03-1234-5016,03-5793-8302,090-1234-4865,03-5793-8302,03-5793-8301,03-5459-8301,,u028@nishiyama-kosen.example.com,代表取締役社長,,清田　博美,展示会,1946-10-10,IBM出身で、大胆ではっきりした方。意思決定が早い。,005BK00000205bFYAQ,2023-07-03T08:20:14.000+0000,005BK00000205bFYAQ,2023-07-03T08:20:14.000+0000,005BK00000205bFYAQ,2023-07-03T08:20:14.000+0000,,,,2023-07-03T08:20:14.000+0000,2023-07-03T08:20:14.000+0000,,,,/services/images/photo/003BK000004PSQiYAO,,,Pending,
003BK000004PSQjYAO,,,001BK000009rsfdYAA,倉田,百合子,,倉田 百合子,,,,,,,,,,高輪 3-13-1,港区,東京都,108-8612,JP,,,,"{""city"":""港区"",""country"":""JP"",""geocodeAccuracy"":null,""latitude"":null,""longitude"":null,""postalCode"":""108-8612"",""state"":""東京都"",""street"":""高輪 3-13-1""}",03-1234-5047,03-5793-8302,090-1234-4865,03-5793-8302,03-5793-8301,03-5459-8301,,u029@gradprix-hotel.example.com,営業部長,,清田　博美,口コミ,1958-03-04,最初は他社製品に非常に興味を持っていたが、現在は弊社製品を気に入っている,005BK00000205bFYAQ,2023-07-03T08:20:14.000+0000,005BK00000205bFYAQ,2023-07-03T08:20:14.000+0000,005BK00000205bFYAQ,2023-07-03T08:20:14.000+0000,,,,2023-07-03T08:20:14.000+0000,2023-07-03T08:20:14.000+0000,,,,/services/images/photo/003BK000004PSQjYAO,,,Pending,
003BK000004PSQkYAO,,,001BK000009rsfVYAQ,三戸,宣絵,,三戸 宣絵,,,,,,,,,,塩浜２－１２,市川市,千葉県,272-0127,JP,,,,"{""city"":""市川市"",""country"":""JP"",""geocodeAccuracy"":null,""latitude"":null,""longitude"":null,""postalCode"":""272-0127"",""state"":""千葉県"",""street"":""塩浜２－１２""}",03-1234-5039,03-5793-8302,090-1234-4865,03-5793-8302,03-5793-8301,03-5459-8301,,u030@yamaguchi-echo.example.com,営業部長,,清田　博美,口コミ,1958-03-04,最初は他社製品に非常に興味を持っていたが、現在は弊社製品を気に入っている,005BK00000205bFYAQ,2023-07-03T08:20:14.000+0000,005BK00000205bFYAQ,2023-07-03T08:20:14.000+0000,005BK00000205bFYAQ,2023-07-03T08:20:14.000+0000,,,,2023-07-03T08:20:14.000+0000,2023-07-03T08:20:14.000+0000,,,,/services/images/photo/003BK000004PSQkYAO,,,Pending,
003BK000004PSQlYAO,,,001BK000009rsfpYAA,立原,清,,立原 清,,,,,,,,,,霞が関３－７－１,千代田区,東京都,100-0013,JP,,,,"{""city"":""千代田区"",""country"":""JP"",""geocodeAccuracy"":null,""latitude"":null,""longitude"":null,""postalCode"":""100-0013"",""state"":""東京都"",""street"":""霞が関３－７－１""}",03-1234-5059,03-5793-8302,090-1234-4865,03-5793-8302,03-5793-8301,03-5459-8301,,u031@tanisi-tsusho.example.com,営業部長,,清田　博美,口コミ,1958-03-04,最初は他社製品に非常に興味を持っていたが、現在は弊社製品を気に入っている,005BK00000205bFYAQ,2023-07-03T08:20:14.000+0000,005BK00000205bFYAQ,2023-07-03T08:20:14.000+0000,005BK00000205bFYAQ,2023-07-03T08:20:14.000+0000,,,,2023-07-03T08:20:14.000+0000,2023-07-03T08:20:14.000+0000,,,,/services/images/photo/003BK000004PSQlYAO,,,Pending,
